x1	y1	assignments1_expression	assignments1_methylation
0.511	3.6067	0.0	0.0
0.5729	5.1226	0.0	0.0
0.6559	2.3491	0.0	0.0
0.7116	3.0603	0.0	0.0
0.4732	8.2392	0.0	0.0
0.5715	8.3191	0.0	0.0
0.5545	3.2322	0.0	0.0
0.5001	4.4516	0.0	0.0
0.5	2.5805	0.0	0.0
0.6348	3.1567	0.0	0.0
0.5395	6.4503	0.0	0.0
0.4947	7.8784	0.0	0.0
0.5003	4.2402	0.0	0.0
0.5734	7.803	0.0	0.0
0.5555	8.1749	0.0	0.0
0.7025	1.9725	0.0	0.0
0.5876	4.2325	0.0	0.0
0.5678	8.2867	0.0	0.0
0.6627	5.6791	0.0	0.0
0.696	6.5819	0.0	0.0
0.5768	5.3577	0.0	0.0
0.7462	2.6755	0.0	0.0
0.6703	5.9989	0.0	0.0
0.617	4.7877	0.0	0.0
0.6284	4.8338	0.0	0.0
0.6369	6.3064	0.0	0.0
0.7806	4.6832	0.0	0.0
0.7099	2.7952	0.0	0.0
0.586	4.8721	0.0	0.0
0.6149	5.1506	0.0	0.0
0.6925	8.623	0.0	0.0
0.5793	8.0242	0.0	0.0
0.6608	5.3874	0.0	0.0
0.8019	3.5983	0.0	0.0
0.4909	4.5521	0.0	0.0
0.5174	9.7299	0.0	0.0
0.6393	5.1015	0.0	0.0
0.6365	1.8972	0.0	0.0
0.6262	6.8202	0.0	0.0
0.5174	4.9315	0.0	0.0
0.5704	6.1169	0.0	0.0
0.7131	4.0958	0.0	0.0
0.4956	5.3684	0.0	0.0
0.5263	8.0232	0.0	0.0
0.7989	3.2722	0.0	0.0
0.5066	9.6112	0.0	0.0
0.5457	3.3877	0.0	0.0
0.7593	6.5445	0.0	0.0
0.6208	5.3789	0.0	0.0
0.7016	5.3125	0.0	0.0
0.673766666667	4.3419	0.0	0.0
0.5662	5.3396	0.0	0.0
0.6465	5.9368	0.0	0.0
0.6487	5.4052	0.0	0.0
0.8043	2.9585	0.0	0.0
0.7521	4.0177	0.0	0.0
0.7309	2.448	0.0	0.0
0.6265	7.1412	0.0	0.0
0.6883	2.3411	0.0	0.0
0.518666666667	5.8356	0.0	0.0
0.4493	8.7239	0.0	0.0
0.689	3.3469	0.0	0.0
0.6688	3.2183	0.0	0.0
0.716	4.9856	0.0	0.0
0.7605	4.2023	0.0	0.0
0.6186	8.7027	0.0	0.0
0.6198	5.5428	0.0	0.0
0.6648	1.9919	0.0	0.0
0.6148	2.794	0.0	0.0
0.4947	4.2934	0.0	0.0
0.6336	4.6505	0.0	0.0
0.5768	4.6129	0.0	0.0
0.5923	7.2333	0.0	0.0
0.7365	3.5841	0.0	0.0
0.6403	2.5096	0.0	0.0
0.7031	4.854	0.0	0.0
0.6481	4.7017	0.0	0.0
0.7872	2.1699	0.0	0.0
0.5913	7.0378	0.0	0.0
0.6322	2.7031	0.0	0.0
0.6817	3.2109	0.0	0.0
0.8344	5.1912	0.0	0.0
0.444	4.7493	0.0	0.0
0.6481	6.1258	0.0	0.0
0.7441	2.714	0.0	0.0
0.6202	4.8714	0.0	0.0
0.5703	6.7143	0.0	0.0
0.6281	3.0822	0.0	0.0
0.5349	6.7278	0.0	0.0
0.5456	3.4516	0.0	0.0
0.7117	4.0727	0.0	0.0
0.6547	2.6872	0.0	0.0
0.5509	3.2333	0.0	0.0
0.4397	7.7617	0.0	0.0
0.6115	6.9024	0.0	0.0
0.6187	3.1857	0.0	0.0
0.6019	5.0215	0.0	0.0
0.6921	5.7934	0.0	0.0
0.4603	4.8916	0.0	0.0
0.6124	6.1649	0.0	0.0
0.7312	3.4272	0.0	0.0
0.6061	4.0336	0.0	0.0
0.682033333333	4.4788	0.0	0.0
0.63	5.3654	0.0	0.0
0.5217	5.7251	0.0	0.0
0.5239	4.9623	0.0	0.0
0.6273	5.2937	0.0	0.0
0.6662	2.8359	0.0	0.0
0.5983	6.0227	0.0	0.0
0.6381	2.4924	0.0	0.0
0.4582	5.3297	0.0	0.0
0.4661	4.4433	0.0	0.0
0.6688	3.2138	0.0	0.0
0.6009	7.6924	0.0	0.0
0.5537	8.6126	0.0	0.0
0.7187	5.3078	0.0	0.0
0.6931	5.0748	0.0	0.0
0.5766	5.2312	0.0	0.0
0.7885	2.7451	0.0	0.0
0.652	8.6982	0.0	0.0
0.7191	4.9144	0.0	0.0
0.7587	4.9123	0.0	0.0
0.7035	3.0314	0.0	0.0
0.4827	8.5864	0.0	0.0
0.5829	4.3528	0.0	0.0
0.5762	3.0524	0.0	0.0
0.6322	4.5779	0.0	0.0
0.5156	3.4634	0.0	0.0
0.5404	4.0906	0.0	0.0
0.6722	6.5569	0.0	0.0
0.6346	4.104	0.0	0.0
0.6678	2.9567	0.0	0.0
0.6458	5.7529	0.0	0.0
0.5496	3.3418	0.0	0.0
0.5607	2.6844	0.0	0.0
0.6877	5.3123	0.0	0.0
0.5565	5.4245	0.0	0.0
0.7043	4.259	0.0	0.0
0.4179	4.4157	0.0	0.0
0.5892	6.0362	0.0	0.0
0.479	6.8415	0.0	0.0
0.5212	6.6836	0.0	0.0
0.6751	2.213	0.0	0.0
0.6797	5.5675	0.0	0.0
0.7588	3.0597	0.0	0.0
0.6537	7.9947	0.0	0.0
0.723	3.3818	0.0	0.0
0.6353	3.2701	0.0	0.0
0.6794	2.7125	0.0	0.0
0.7251	3.2055	0.0	0.0
